scientific_name,common_name,description,image_url
Psilotum nudum,Hawaiian Moa,Plant from Mitchell Park Domes collection. easily moved,
Quesnelia marmorata 'Tim Plowman',Bromeliad,Plant from Mitchell Park Domes collection. potted,
Rhaphidophora tetrasperma,Mini Monstera,Plant from Mitchell Park Domes collection. easily propagated by cuttings,
Rhipsalis pilocarpa,Hairy Stemmed Rhipsalis,Plant from Mitchell Park Domes collection. potted,
Ruellia prostrata,Bell Weed,Plant from Mitchell Park Domes collection. unavailable on the market,
Ruellia simplex,Mexican Petunia,Plant from Mitchell Park Domes collection. one is potted,
Saccharum officinarum 'Ivory Stripes',Variegated Sugar Cane,Plant from Mitchell Park Domes collection. this variegated cultivar no longer available,
Sauromatum venosum,Voodoo Lily,"Plant from Mitchell Park Domes collection. one is potted, goes dormant",
Selenicereus anthonyanus,Ric Rac Cactus,Plant from Mitchell Park Domes collection. potted,
Tapeinochilos ananassae,Indonesian Wax Ginger,Plant from Mitchell Park Domes collection. potted,
Wallisia cyanea,Pink Quill,Plant from Mitchell Park Domes collection. easily transplanted,
Tillandsia xerographica x brachycaulos,Air Plant,"Plant from Mitchell Park Domes collection. easily transplanted, both hanging in trees",
Typhonodorum lindleyanum,Water Banana,Plant from Mitchell Park Domes collection. potted,
Vanilla planifolia,Vanilla Orchid,Plant from Mitchell Park Domes collection. relatively expensive,
Vanilla planifolia 'Variegata',Variegated Vanilla Vine,Plant from Mitchell Park Domes collection. relatively expensive,
Vriesea 'Splenriet',Flaming Sword�,Plant from Mitchell Park Domes collection. easily transplanted,
Vriesea imperialis green,Giant Bromeliad,"Plant from Mitchell Park Domes collection. too large to move, but can be propogated from pups",
Vriesea simplex x mariae,Painted Feather Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Vriesea splendens,Variegated Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Zamia furfuraceae,Cardboard Palm,Plant from Mitchell Park Domes collection. endangered,
Zamioculcas zamiifolia 'Dowon',Raven Z Z Plant,"Plant from Mitchell Park Domes collection. one is potted, relatively expensive",
Zapoteca portoricensis,White Powder Puff,Plant from Mitchell Park Domes collection. unavailable on the market,
Zingiber officianale,Edible Ginger,Plant from Mitchell Park Domes collection. one is potted,
Zingiber zerumbet,Bitter Ginger,,
Agave angustifolia var. angustifolia�,"
",Plant from Mitchell Park Domes collection. Doesn't seem readily available to purchase,
Agave schottii,"
",Plant from Mitchell Park Domes collection. New plants would be much smaller�,
Agave stricta 'Nana',Dwarf Hedgehog Agave,Plant from Mitchell Park Domes collection. Doesn't seem readily available to purchase,
Aloe sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Aloe unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Drimiopsis maculata,"
",Plant from Mitchell Park Domes collection. Could possibly save as dormant bulbs,
Euphorbia abyssinica,"
",Plant from Mitchell Park Domes collection. Larger specimen but can probably be saved.,
Euphorbia sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Euphorbia unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Euphorbia unknown hybrid,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Ferocactus emoryi,"
",Plant from Mitchell Park Domes collection. One is a CITES rescue,
Ferocactus sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Ferocactus unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Fouquieria formosa,"
",Plant from Mitchell Park Domes collection. Smaller can be done by staff; larger needs consult. Two are CITES rescues,
Gasteraloe unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gasteria hybrid,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gasteria sp,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gasteria species,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gasteria unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gasterworthia unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Graptopetalum unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Graptoveria #2(?),"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Graptoveria #3(?),"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gymnocalycium possibly saglione,"
",,
Gymnocalycium unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Haworthia unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Haworthiopsis attenuata var. glabrata,"
",,
Hectia argentea,"
",,
Hectia sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection; would need to cut back to attempt moving,
Juttadinteria suavissima,"
",Plant from Mitchell Park Domes collection. Seed available but plants not readily sold,
Mammillaria unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Mammillaria unknown�,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Opuntia sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Opuntia unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Raphianacme flanaganii,"
",Plant from Mitchell Park Domes collection. Good sized specimen,
Sedum pachyphyllum�,Jelly Bean Plant,Plant from Mitchell Park Domes collection. Readily available and easy to propagate,
Senecio crassisimus,"
",,
Unknown Gasteria,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Adenium boehmianum�,Bushman Poison�,Plant from Mitchell Park Domes collection. Nice sized specimen,
Aloe cameronii,"
",,
Aloe harlana,"
",,
Aloe jacksonii,"
",,
Aloe jucunda,"
","Plant from Mitchell Park Domes collection. Readily Available, but will be much smaller than our established clumps",
Aloe maculata�,"
","Plant from Mitchell Park Domes collection. Readily Available, but will be much smaller than our established clumps",
Aloe munchii,"
",,
Aloe rivae,"
",,
Aloe rivierei,"
",,
Dracaena serpenta,"
",,
Dracaena unknown,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Euphorbia tirucalli�,Pencil Plant,Plant from Mitchell Park Domes collection. Original specimen might be too large/weak (leaning on rock) to move; can move smaller one. Easily propagated,
Gasteria obliqua,"
",,
Gasteria sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Haworthia sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Tephrocactus articulatus,Paper Spine,Plant from Mitchell Park Domes collection. Easily propagated,
STETSONIA CORYNE,Toothpick Cactus,,
Carnegiea gigantea�,Giant Saguaro �,Plant from Mitchell Park Domes collection. Small plants,
Yucca elata,SOAP TREE,,
Brachychiton rupestris,Australian Bottle Tree,Plant from Mitchell Park Domes collection. Large specimen roughly 20 years old; unsure of probability of transplant success,
Brachychiton sp.,Australian Bottle Tree,Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Hohenbergia magnispina,"
",,
Aloe deltoideodonta,"
",,
Calibanus hookeri,Mexican Boulder,"Plant from Mitchell Park Domes collection. Large specimens; one in pot, one in ground. Unsure of transplant success for in-ground plant",
Cephalocereus senilis�,Old Man Cactus,Plant from Mitchell Park Domes collection. Available for purchase; would likely be much smaller�,
Copiapoa gigantea,"
",,
Dracaena ballyi 'Tom Grumbley',Tom Grumbley Snake Plant,Plant from Mitchell Park Domes collection. Uncommon cultivar; specimen presumably received from a well-known plantsman,
Agave 'Dragon's Toes',Dragon's Toes,,
Aloe arborescens 'Variegata',Variegated Octopus Aloe,Plant from Mitchell Park Domes collection. Unsure of transplant success,
Dracaena pethera,"
",,
Dracaena trifasciata 'Moonshine',Moonshine Snake Plant,,
Gasteria batesiana 'Variegata',Variegated Gasteria�,Plant from Mitchell Park Domes collection. Very small specimen,
Nopalea cochenillifera forma variegata,Variegated Nopal,Plant from Mitchell Park Domes collection. Large specimen; new one would be much smaller or expensive if larger,
FEROCACTUS� GLAUCESCENS,"
",Plant from Mitchell Park Domes collection. Varied sizes; some might be too large to successfully transplant,
Pilosocereus palmeri�,Wooly Torch Cactus,Plant from Mitchell Park Domes collection. Varied sizes; some might be too large to successfully transplant,
Opuntia echios,"
",,
Euphorbia buruana,"
",Plant from Mitchell Park Domes collection. CITES Rescue; IUCN Vulnerable,
Aloe acutissima var. antanimorensis,"
",,
Aloe conifera,"
",,
Aloe erythrophylla,"
",,
Aloe rauhii,"
",,
Didieria madagascariensis,"
",,
Euphorbia aff croizatii�,"
",,
Euphorbia betrokana,"
",,
Euphorbia capsaintemariensis,"
",,
Euphorbia croizatii�,"
",,
Euphorbia decaryi�,"
",,
Euphorbia decaryi var. spirosticha,"
",,
Euphorbia duranii�,"
",,
Euphorbia genoudiana�,"
",,
Euphorbia hedyotoides,"
",Plant from Mitchell Park Domes collection. Didn't find during 2023 inventory; verify still in collection. ICUN Endangered,
Euphorbia millii var. roseana,"
",,
Euphorbia platyclada,"
",Plant from Mitchell Park Domes collection. IUCN Vulnerable,
Euphorbia platyclada var. hardyi,"
",Plant from Mitchell Park Domes collection. IUCN Vulnerable,
Kalanchoe beauverdii,Widow's Thrill,,
Kalanchoe beharensis,Velvet Elephant Ear,"Plant from Mitchell Park Domes collection. Varied sizes, smooth and felt-leaved. Largest might not survive. IUCN Vulnerable",
Kalanchoe bracteata,Silver Teaspoons,Plant from Mitchell Park Domes collection. Larger specimens; unsure of transplant success. New plants would be much smaller.�,
Kalanchoe dinklagei,"
",,
Kalanchoe orgyalis,Copper Spoons,Plant from Mitchell Park Domes collection. New plants would likely be much smaller,
Kalanchoe rhombopilosa,"
",Plant from Mitchell Park Domes collection. New plants would likely be much smaller,
Kalanchoe viguieri�,"
",,
Kalanchoe viguieri var. angustisepala,"
",,
Kleinia madagascariensis,"
",,
SENECIO DESCOINGSII,"
",,
Senna meridionalis,"
",Plant from Mitchell Park Domes collection. IUCN Vulnerable,
Agave 'Blue Glow',Blue Glow Agave,,
Agave albopilosa,White Hair Agave,Plant from Mitchell Park Domes collection. IUCN Critically Endangered,
Agave americana subsp. americana,"
",Plant from Mitchell Park Domes collection. Not positive on ID. Plant seems to have a disease. Pups can potentially be saved.,
Agave angustifolia,Mescal Agave,Plant from Mitchell Park Domes collection. Large plant would be difficult to remove; pups can potentially be saved,
Agave attenuata�,Lion's Tail Agave,Plant from Mitchell Park Domes collection. Large established clumps. Could dig out portions to save,
Agave attenuata variegata,"
",,
Agave bovicornuta 'Reggae Time',Cowhorn Agave,,
Agave bracteosa,"
",Plant from Mitchell Park Domes collection. Good sized plants,
Agave mitis,"
",,
Agave polianthiflora,Tuberose-flowered Agave,,
Agave potatorum,"
",,
Agave potatorum 'Kissho Kan',Lucky Crown Agave,,
Agave tequilana,Tequila agave,Plant from Mitchell Park Domes collection. Nice large specimens. Some donated from Sonoran Desert Museum,
Agave titanota,Chalk Agave,Plant from Mitchell Park Domes collection. IUCN Endangered,
Agave victoriae-reginae,Queen Agave,,
Astrophytum myriostigma,Bishop's Cap,,
Astrophytum ornatum,Star Plant,Plant from Mitchell Park Domes collection. New plants would be much smaller or likely expensive. IUCN Vulnerable,
Beaucarnea recurvata�,Pony Tail Palm,Plant from Mitchell Park Domes collection. 2-3 large potted specimens could be moved; two in-ground specimens too large to move,
Echeveria carnicolor,Red Echeveria,Plant from Mitchell Park Domes collection. Species might be mislabeled.�,
Echinocereus brandegeei,"
",,
Echinocereus pentalophus,Lady Finger Cactus,,
Euphorbia lomelii,Slipper Plant,,
Ferocactus hystrix,Fish-hook Cactus,Plant from Mitchell Park Domes collection. Larger specimen; might be difficult to move successfully,
Ferocactus pilosus,Mexican Fire Barrel,Plant from Mitchell Park Domes collection. Larger specimen; might be difficult to move successfully,
Ferocactus rectispinus,"
",Plant from Mitchell Park Domes collection. Larger specimen; might be difficult to move successfully,
Graptopetalum amethystinum,Lavender Pebbles,Plant from Mitchell Park Domes collection. Large clump; easily propagated,
Graptopetalum paraguayense,"
",Plant from Mitchell Park Domes collection. Easily propagated,
Hamatocactus hamatacanthus subsp. hamatacanthus,Yellow Turk's Head,,
Leuchtenbergia principis,Prism cactus,Plant from Mitchell Park Domes collection. Nice specimen,
Lophocereus schottii,Old Man Cactus,Plant from Mitchell Park Domes collection. Larger specimen; might be difficult to move successfully. ID needs verification,
Mammillaria decipiens,Bird's Nest Mammillaria,,
Mammillaria geminispina,Twin-spine cactus,,
Mammillaria hahniana 'Super Clone',Old Lady Cactus,,
Mammillaria parkinsonii,Owl-Eye Pincushion,,
Mammillaria petterssonii,"
",,
Mammillaria vetula,"
",,
Lophocereus marginatus,Mexican fencepost,"Plant from Mitchell Park Domes collection. Larger plants; cuttings could be taken, or buy new.",
Opuntia aciculata,Cowboy's Whiskers�,Plant from Mitchell Park Domes collection. Could try to save pads instead of plant,
Opuntia robusta,Dinner Plate Cactus,Plant from Mitchell Park Domes collection. Larger plant but likely can be moved successfully,
Lophocereus schottii f. monstrosus,Totem Pole Cactus,,
Pachycereus sp.,Cardon,"Plant from Mitchell Park Domes collection. Notes say ""either pringlei or weberi""",
PACHYPHYTUM BRACTEOSUM,Moonstones,Plant from Mitchell Park Domes collection. Easy to propagate,
Sedum adolphii,"
",Plant from Mitchell Park Domes collection. Easy to propagate,
Sedum morganianum,Burro's Tail,Plant from Mitchell Park Domes collection. Easy to propagate,
Cleistocactus hyalacanthus,Silver Torch,,
Fouquieria splendens,Ocotillo,,
Ariocarpus fissuratus,LIVING ROCK CACTUS,Plant from Mitchell Park Domes collection. CITES rescue,
ADENIA SPINOSA,"
",Plant from Mitchell Park Domes collection. Nice large specimen,
Aloe alooides,Graskop Aloe,,
Aloe arborescens,Octopus Aloe,Plant from Mitchell Park Domes collection. Large clump; probably able to transplant a few individuals.,
Aloe broomii,Mountain Aloe,,
Aloe ferox,BItter Aloe,,
Aloe krapohliana,Tree Aloe,,
Aloiampelos ciliaris,Climbing Aloe,Plant from Mitchell Park Domes collection. Large clump; new plants would be much smaller. Fast-growing.,
Boophane disticha,"
",,
Bowiea volubilis,Climbing Onion,,
Crassula� arborescens,Silver Jade Plant,,
Crassula ovata,Jade Plant,Plant from Mitchell Park Domes collection. 5 large specimens. Easy to propagate,
Crassula ovata 'Hobbit',Hobbit Jade,Plant from Mitchell Park Domes collection. Large specimen worth saving,
Cyphostemma juttae,Namibian Grape,,
Euphorbia horrida 'Snowflake',"
",,
Euphorbia obesa,Living Baseball,,
Gasteria excelsa,"
",,
Haemanthus albiflos,White Paintbrush,Plant from Mitchell Park Domes collection. Can possibly save as dormant bulbs,
Lithops geyeri,"
",,
Lithops hookeri,"
",,
Pachypodium saundersii,"
",Plant from Mitchell Park Domes collection. Smaller one can be done by staff; larger needs consult,
Curio ficoides,"
",,
Kleinia stapeliiformis,Inch Worm Plant,,
Strelitzia juncea,Bird of Paradise,Plant from Mitchell Park Domes collection. Large plant; might be able to dig up chunks for transplant,
Tylecodon paniculatus,Butter Tree,,
Welwitschia mirabilis,Welwitschia,Plant from Mitchell Park Domes collection. Planted in 2022. Taprooted; very difficult to transplant successfully once established.,
Begonia ruhlandiana,"
",Plant from Mitchell Park Domes collection. Donated by Huntington Gardens,
Bromelia balansae,Heart of Flame,Plant from Mitchell Park Domes collection. Might be able to save offsets. Not worth risking nearby Golden Barrels,
Cleistocactus sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Copiapoa coquimbana,"
",Plant from Mitchell Park Domes collection. CITES rescue,
Copiapoa hypogaea,"
",Plant from Mitchell Park Domes collection. CITES rescue; IUCN Endangered,
Copiapoa lembeckei,"
",Plant from Mitchell Park Domes collection. CITES rescue,
